                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.81999,                 0.6301,                 1.1018,                0.67999,                0.41698,                0.41764,                0.26273,                 1.2181,                0.81481,                 1.1929,              0.0004364,              0.0004364,              0.0004364
                     94,                0.81776,                0.62923,                 1.1006,                0.65438,                0.39966,                0.40395,                0.26149,                 1.1643,                0.79318,                 1.1859,             0.00042907,             0.00042907,             0.00042907
                     95,                0.78342,                0.61583,                  1.084,                0.65446,                0.42369,                0.41965,                0.25988,                 1.2249,                0.81476,                 1.2002,             0.00042174,             0.00042174,             0.00042174
                     96,                 0.8112,                0.62442,                 1.0971,                0.65716,                0.41166,                0.41513,                0.26562,                 1.1907,                0.78777,                 1.1943,              0.0004144,              0.0004144,              0.0004144
                     97,                0.81714,                0.63774,                 1.1012,                0.69212,                0.42652,                0.43249,                0.27059,                 1.1908,                0.79362,                 1.1894,             0.00040707,             0.00040707,             0.00040707
                     98,                0.80338,                0.62148,                 1.0972,                0.66908,                0.43594,                0.42082,                0.26792,                 1.1703,                 0.7847,                 1.1837,             0.00039974,             0.00039974,             0.00039974
                     99,                0.80714,                 0.6376,                 1.0993,                0.67746,                0.42691,                 0.4121,                0.26836,                 1.1439,                 0.7856,                 1.1709,             0.00039241,             0.00039241,             0.00039241
                    100,                 0.8109,                0.63433,                 1.0856,                 0.6925,                 0.4262,                0.43115,                0.27218,                 1.1884,                0.78746,                 1.1663,             0.00038507,             0.00038507,             0.00038507
                    101,                0.81348,                0.62402,                 1.0885,                0.63166,                0.42425,                0.43429,                0.27259,                 1.2185,                0.85887,                 1.1834,             0.00037774,             0.00037774,             0.00037774
                    102,                0.78465,                0.59772,                 1.0805,                0.67819,                0.43187,                0.42997,                0.26262,                  1.201,                0.82049,                 1.1898,             0.00037041,             0.00037041,             0.00037041
                    103,                0.80879,                0.63105,                 1.0919,                0.67703,                0.40679,                0.43418,                   0.27,                 1.2246,                 0.8036,                 1.1948,             0.00036307,             0.00036307,             0.00036307
                    104,                0.77303,                 0.6218,                 1.0733,                 0.4825,                0.49528,                0.44655,                0.27624,                 1.1814,                0.78037,                 1.1901,             0.00035574,             0.00035574,             0.00035574
                    105,                0.78818,                0.61244,                 1.0879,                0.66489,                0.40599,                0.41652,                0.26728,                  1.202,                0.78042,                 1.1958,             0.00034841,             0.00034841,             0.00034841
                    106,                0.80438,                0.63838,                 1.0879,                0.71211,                0.43634,                0.43349,                0.27219,                 1.1807,                 0.7969,                 1.1674,             0.00034108,             0.00034108,             0.00034108
                    107,                0.78686,                0.62808,                 1.0849,                0.66635,                0.47224,                 0.4526,                 0.2786,                 1.2223,                0.80747,                 1.1803,             0.00033374,             0.00033374,             0.00033374
                    108,                0.78636,                0.61247,                 1.0771,                0.70564,                0.43189,                0.43329,                0.26421,                 1.2393,                0.79332,                 1.1942,             0.00032641,             0.00032641,             0.00032641
                    109,                0.78709,                0.59749,                  1.089,                0.72299,                0.42948,                0.44596,                0.27491,                 1.2023,                0.76801,                 1.2075,             0.00031908,             0.00031908,             0.00031908
                    110,                0.79332,                0.61106,                 1.0847,                0.69852,                0.40902,                0.43354,                0.27734,                 1.1956,                0.79569,                 1.1782,             0.00031175,             0.00031175,             0.00031175
                    111,                0.76915,                0.58746,                 1.0699,                0.70014,                0.42294,                0.43126,                 0.2773,                 1.1813,                0.78503,                 1.1813,             0.00030441,             0.00030441,             0.00030441
                    112,                0.79129,                0.61511,                 1.0801,                0.70972,                0.43647,                0.42396,                0.27181,                 1.2248,                0.78743,                 1.1975,             0.00029708,             0.00029708,             0.00029708
                    113,                0.78939,                0.59475,                 1.0737,                0.69114,                 0.4223,                  0.427,                0.27234,                 1.1932,                0.80768,                 1.1985,             0.00028975,             0.00028975,             0.00028975
                    114,                0.79748,                 0.6081,                 1.0789,                0.66859,                0.45399,                0.42062,                0.26932,                 1.2128,                0.80167,                 1.1798,             0.00028242,             0.00028242,             0.00028242
                    115,                0.79896,                0.61036,                 1.0786,                0.68955,                0.40827,                0.42017,                0.27706,                 1.1833,                0.77148,                 1.1726,             0.00027508,             0.00027508,             0.00027508
                    116,                0.78307,                0.61753,                  1.077,                0.68764,                0.43738,                0.43245,                0.26642,                 1.1927,                0.79248,                 1.1771,             0.00026775,             0.00026775,             0.00026775
                    117,                0.78647,                0.61186,                 1.0702,                0.68532,                0.46519,                0.44399,                0.27237,                 1.2169,                0.80076,                 1.1952,             0.00026042,             0.00026042,             0.00026042
                    118,                0.77386,                0.59022,                 1.0805,                0.69737,                0.43068,                0.44506,                0.27729,                 1.2002,                0.79709,                 1.1753,             0.00025309,             0.00025309,             0.00025309
                    119,                 0.7615,                0.58442,                 1.0661,                0.65652,                 0.4673,                0.43363,                0.27979,                 1.1868,                0.82156,                 1.1695,             0.00024575,             0.00024575,             0.00024575
